Punto de partida,punto de llegada,Linea,Minuto de viaje programada,Recorrido minimo observado,Marca de tiempo,Hora del día ,Dia de la semana,Es fin de semana,Transferir,Clima de lluvia,Ocupación Estimada,Evento especial
Portal Norte,Calle 100,linea_roja,12,17.54,07/01/2025 08:09,8,1,0,0,0,355,0
Portal Norte,Calle 100,linea_roja,12,12.2,20/01/2025 23:20,23,0,0,0,0,5,0
Portal Norte,Calle 100,linea_roja,12,11.91,04/01/2025 01:23,1,5,1,0,0,9,0
Portal Norte,Calle 100,linea_roja,12,17.44,18/01/2025 09:17,9,5,1,0,1,360,0
Portal Norte,Calle 100,linea_roja,12,11.93,02/01/2025 12:49,12,3,0,0,0,389,0
Portal Norte,Calle 100,linea_roja,12,12.95,20/01/2025 01:16,1,0,0,0,0,332,0
Portal Norte,Calle 100,linea_roja,12,10.83,08/01/2025 15:58,15,2,0,0,0,352,0
Portal Norte,Calle 100,linea_roja,12,12.65,11/01/2025 21:38,21,5,1,0,0,326,0
Portal Norte,Calle 100,linea_roja,12,14.76,24/01/2025 19:33,19,4,0,0,0,400,0
Portal Norte,Calle 100,linea_roja,12,13.74,18/01/2025 22:10,22,5,1,0,0,278,0
Portal Norte,Calle 100,linea_roja,12,18.78,24/01/2025 17:48,17,4,0,0,1,226,0
Portal Norte,Calle 100,linea_roja,12,16.86,07/01/2025 09:33,9,1,0,0,0,15,0
Portal Norte,Calle 100,linea_roja,12,15.67,21/01/2025 17:46,17,1,0,0,0,272,0
Portal Norte,Calle 100,linea_roja,12,15.35,24/01/2025 17:31,17,4,0,0,0,75,0
Portal Norte,Calle 100,linea_roja,12,10.79,05/01/2025 23:26,23,6,1,0,0,179,0
Portal Norte,Calle 100,linea_roja,12,17.29,24/01/2025 06:00,6,4,0,0,0,169,0
Portal Norte,Calle 100,linea_roja,12,12.49,03/01/2025 03:59,3,4,0,0,0,107,0
Portal Norte,Calle 100,linea_roja,12,12.27,01/01/2025 23:44,23,2,0,0,0,294,0
Portal Norte,Calle 100,linea_roja,12,11.43,28/01/2025 12:28,12,1,0,0,0,278,0
Portal Norte,Calle 100,linea_roja,12,12.88,23/01/2025 05:36,5,3,0,0,0,208,0
Portal Norte,Calle 100,linea_roja,12,12.8,12/01/2025 21:33,21,6,1,0,0,179,0
Portal Norte,Calle 100,linea_roja,12,13.67,11/01/2025 09:49,9,5,1,0,0,69,0
Portal Norte,Calle 100,linea_roja,12,12.29,01/01/2025 11:30,11,2,0,0,0,258,0
Portal Norte,Calle 100,linea_roja,12,14.15,27/01/2025 19:33,19,0,0,0,0,31,0
Portal Norte,Calle 100,linea_roja,12,11.57,22/01/2025 04:16,4,2,0,0,0,188,0
Portal Norte,Calle 100,linea_roja,12,11.23,21/01/2025 15:28,15,1,0,0,0,390,0
Portal Norte,Calle 100,linea_roja,12,12.56,09/01/2025 10:20,10,3,0,0,0,197,0
Portal Norte,Calle 100,linea_roja,12,10.49,09/01/2025 04:00,4,3,0,0,0,197,0
Portal Norte,Calle 100,linea_roja,12,15.4,14/01/2025 16:12,16,1,0,0,0,169,0
Portal Norte,Calle 100,linea_roja,12,15.58,18/01/2025 12:42,12,5,1,0,1,203,0
Portal Norte,Calle 100,linea_roja,12,16.54,22/01/2025 09:30,9,2,0,0,0,336,0
Portal Norte,Calle 100,linea_roja,12,11.83,21/01/2025 04:44,4,1,0,0,0,181,0
Portal Norte,Calle 100,linea_roja,12,12.56,21/01/2025 22:30,22,1,0,0,0,29,0
Portal Norte,Calle 100,linea_roja,12,11.62,02/01/2025 02:44,2,3,0,0,0,259,0
Portal Norte,Calle 100,linea_roja,12,10.97,22/01/2025 22:21,22,2,0,0,0,171,0
Portal Norte,Calle 100,linea_roja,12,15.85,11/01/2025 06:14,6,5,1,0,0,21,0
Portal Norte,Calle 100,linea_roja,12,11.73,28/01/2025 13:52,13,1,0,0,0,12,0
Portal Norte,Calle 100,linea_roja,12,17,18/01/2025 19:09,19,5,1,0,0,37,0
Portal Norte,Calle 100,linea_roja,12,11.24,14/01/2025 04:23,4,1,0,0,0,315,1
Portal Norte,Calle 100,linea_roja,12,16.18,08/01/2025 16:58,16,2,0,0,0,142,0
Portal Norte,Calle 100,linea_roja,12,14.89,25/01/2025 09:14,9,5,1,0,0,244,0
Portal Norte,Calle 100,linea_roja,12,15.63,25/01/2025 05:30,5,5,1,0,1,231,0
Portal Norte,Calle 100,linea_roja,12,12.67,26/01/2025 13:49,13,6,1,0,0,39,0
Portal Norte,Calle 100,linea_roja,12,13.88,19/01/2025 01:35,1,6,1,0,0,234,0
Portal Norte,Calle 100,linea_roja,12,11.43,27/01/2025 03:36,3,0,0,0,0,83,0
Portal Norte,Calle 100,linea_roja,12,11.16,10/01/2025 01:24,1,4,0,0,0,128,0
Portal Norte,Calle 100,linea_roja,12,17.84,12/01/2025 08:02,8,6,1,0,0,10,0
Portal Norte,Calle 100,linea_roja,12,12.86,15/01/2025 20:37,20,2,0,0,0,26,0
Portal Norte,Calle 100,linea_roja,12,12.65,12/01/2025 10:16,10,6,1,0,0,154,0
Portal Norte,Calle 100,linea_roja,12,13.09,15/01/2025 01:15,1,2,0,0,1,348,0
Portal Norte,Calle 100,linea_roja,12,12.79,15/01/2025 23:47,23,2,0,0,0,83,0
Portal Norte,Calle 100,linea_roja,12,12.13,20/01/2025 01:30,1,0,0,0,0,344,0
Portal Norte,Calle 100,linea_roja,12,10.14,18/01/2025 23:43,23,5,1,0,0,259,0
Portal Norte,Calle 100,linea_roja,12,17.6,14/01/2025 06:14,6,1,0,0,0,379,0
Portal Norte,Calle 100,linea_roja,12,10.38,06/01/2025 01:41,1,0,0,0,0,287,0
Portal Norte,Calle 100,linea_roja,12,12.41,21/01/2025 11:05,11,1,0,0,0,152,0
Portal Norte,Calle 100,linea_roja,12,13.24,18/01/2025 23:37,23,5,1,0,0,390,0
Portal Norte,Calle 100,linea_roja,12,12.97,15/01/2025 23:50,23,2,0,0,0,347,0
Portal Norte,Calle 100,linea_roja,12,16.47,18/01/2025 16:44,16,5,1,0,0,7,0
Portal Norte,Calle 100,linea_roja,12,12.68,05/01/2025 03:16,3,6,1,0,0,55,0
Portal Norte,Calle 100,linea_roja,12,12.26,22/01/2025 00:49,0,2,0,0,0,33,0
Portal Norte,Calle 100,linea_roja,12,12.81,22/01/2025 04:54,4,2,0,0,0,73,0
Portal Norte,Calle 100,linea_roja,12,12.22,17/01/2025 13:03,13,4,0,0,0,127,0
Portal Norte,Calle 100,linea_roja,12,11.47,20/01/2025 20:05,20,0,0,0,0,78,0
Portal Norte,Calle 100,linea_roja,12,11.62,01/01/2025 15:25,15,2,0,0,0,122,0
Portal Norte,Calle 100,linea_roja,12,11.32,03/01/2025 20:18,20,4,0,0,0,61,0
Portal Norte,Calle 100,linea_roja,12,15.56,14/01/2025 07:38,7,1,0,0,0,314,0
Portal Norte,Calle 100,linea_roja,12,15.58,30/01/2025 08:56,8,3,0,0,0,283,0
Portal Norte,Calle 100,linea_roja,12,14.61,20/01/2025 08:42,8,0,0,0,0,71,0
Portal Norte,Calle 100,linea_roja,12,15.24,02/01/2025 17:17,17,3,0,0,0,184,0
Portal Norte,Calle 100,linea_roja,12,15.52,01/01/2025 08:35,8,2,0,0,0,155,0
Portal Norte,Calle 100,linea_roja,12,12,09/01/2025 13:36,13,3,0,0,0,232,0
Portal Norte,Calle 100,linea_roja,12,14.52,28/01/2025 08:21,8,1,0,0,0,352,0
Portal Norte,Calle 100,linea_roja,12,11.82,10/01/2025 13:17,13,4,0,0,0,223,0
Portal Norte,Calle 100,linea_roja,12,11,14/01/2025 02:26,2,1,0,0,0,203,0
Portal Norte,Calle 100,linea_roja,12,11.66,02/01/2025 14:59,14,3,0,0,0,325,0
Portal Norte,Calle 100,linea_roja,12,14.93,09/01/2025 23:27,23,3,0,0,0,314,0
Portal Norte,Calle 100,linea_roja,12,18.4,06/01/2025 17:26,17,0,0,0,0,42,0
Portal Norte,Calle 100,linea_roja,12,15.59,12/01/2025 19:21,19,6,1,0,0,138,0
Portal Norte,Calle 100,linea_roja,12,16.08,26/01/2025 09:48,9,6,1,0,0,346,0
Portal Norte,Calle 100,linea_roja,12,12.53,16/01/2025 05:13,5,3,0,0,0,341,0
Portal Norte,Calle 100,linea_roja,12,11.96,11/01/2025 21:39,21,5,1,0,1,62,0
Portal Norte,Calle 100,linea_roja,12,16.54,21/01/2025 06:37,6,1,0,0,0,188,0
Portal Norte,Calle 100,linea_roja,12,13.53,09/01/2025 09:55,9,3,0,0,0,72,0
Portal Norte,Calle 100,linea_roja,12,13.32,20/01/2025 02:40,2,0,0,0,0,71,0
Portal Norte,Calle 100,linea_roja,12,11.23,05/01/2025 00:35,0,6,1,0,0,141,0
Portal Norte,Calle 100,linea_roja,12,12.17,18/01/2025 23:07,23,5,1,0,0,296,0
Portal Norte,Calle 100,linea_roja,12,13.88,27/01/2025 01:52,1,0,0,0,1,350,0
Portal Norte,Calle 100,linea_roja,12,15.08,09/01/2025 18:20,18,3,0,0,0,343,0
Portal Norte,Calle 100,linea_roja,12,12.98,02/01/2025 05:45,5,3,0,0,0,162,0
Portal Norte,Calle 100,linea_roja,12,14.46,10/01/2025 07:24,7,4,0,0,0,83,0
Portal Norte,Calle 100,linea_roja,12,15.62,03/01/2025 08:42,8,4,0,0,0,37,0
Portal Norte,Calle 100,linea_roja,12,11.67,09/01/2025 20:20,20,3,0,0,0,369,0
Portal Norte,Calle 100,linea_roja,12,15.49,17/01/2025 19:49,19,4,0,0,1,115,0
Portal Norte,Calle 100,linea_roja,12,13.17,03/01/2025 03:40,3,4,0,0,0,111,0
Portal Norte,Calle 100,linea_roja,12,14.84,08/01/2025 07:35,7,2,0,0,0,273,0
Portal Norte,Calle 100,linea_roja,12,12.51,03/01/2025 12:26,12,4,0,0,0,320,0
Portal Norte,Calle 100,linea_roja,12,10.34,09/01/2025 12:16,12,3,0,0,0,212,0
Portal Norte,Calle 100,linea_roja,12,12.5,31/01/2025 03:47,3,4,0,0,0,341,0
Portal Norte,Calle 100,linea_roja,12,16,07/01/2025 09:28,9,1,0,0,0,343,0
Portal Norte,Calle 100,linea_roja,12,15.36,17/01/2025 19:26,19,4,0,0,0,99,0
Portal Norte,Calle 100,linea_roja,12,13.04,26/01/2025 05:27,5,6,1,0,1,6,0
Portal Norte,Calle 100,linea_roja,12,14.14,28/01/2025 16:37,16,1,0,0,0,344,0
Portal Norte,Calle 100,linea_roja,12,11.86,21/01/2025 20:56,20,1,0,0,0,131,0
Portal Norte,Calle 100,linea_roja,12,14.23,26/01/2025 07:05,7,6,1,0,0,243,0
Portal Norte,Calle 100,linea_roja,12,13.1,14/01/2025 03:26,3,1,0,0,0,395,0
Portal Norte,Calle 100,linea_roja,12,12.55,27/01/2025 21:36,21,0,0,0,0,25,0
Portal Norte,Calle 100,linea_roja,12,13.68,27/01/2025 20:59,20,0,0,0,1,195,0
Portal Norte,Calle 100,linea_roja,12,17.1,09/01/2025 06:33,6,3,0,0,0,123,0
Portal Norte,Calle 100,linea_roja,12,15.38,07/01/2025 09:19,9,1,0,0,0,369,0
Portal Norte,Calle 100,linea_roja,12,12.06,23/01/2025 10:08,10,3,0,0,0,273,0
Portal Norte,Calle 100,linea_roja,12,10.27,15/01/2025 13:23,13,2,0,0,0,328,0
Portal Norte,Calle 100,linea_roja,12,14.94,30/01/2025 17:26,17,3,0,0,0,125,0
Portal Norte,Calle 100,linea_roja,12,12.82,03/01/2025 14:36,14,4,0,0,0,369,0
Portal Norte,Calle 100,linea_roja,12,12.97,18/01/2025 00:03,0,5,1,0,0,90,0
Portal Norte,Calle 100,linea_roja,12,17.13,19/01/2025 09:15,9,6,1,0,0,96,0
Portal Norte,Calle 100,linea_roja,12,11.18,12/01/2025 13:00,13,6,1,0,0,253,0
Portal Norte,Calle 100,linea_roja,12,10.81,01/01/2025 10:43,10,2,0,0,0,146,0
Portal Norte,Calle 100,linea_roja,12,12.14,24/01/2025 04:31,4,4,0,0,0,246,0
Portal Norte,Calle 100,linea_roja,12,16.74,03/01/2025 08:38,8,4,0,0,0,218,0
Portal Norte,Calle 100,linea_roja,12,12.23,16/01/2025 02:30,2,3,0,0,0,185,0
Portal Norte,Calle 100,linea_roja,12,12.02,12/01/2025 01:18,1,6,1,0,0,285,0
Portal Norte,Calle 100,linea_roja,12,15.77,26/01/2025 18:56,18,6,1,0,0,179,0
Portal Norte,Calle 100,linea_roja,12,14.15,02/01/2025 16:40,16,3,0,0,0,339,0
Portal Norte,Calle 100,linea_roja,12,12.41,22/01/2025 13:09,13,2,0,0,0,337,0
Portal Norte,Calle 100,linea_roja,12,11.34,13/01/2025 11:00,11,0,0,0,0,187,0
Portal Norte,Calle 100,linea_roja,12,12.12,04/01/2025 11:05,11,5,1,0,0,70,0
Portal Norte,Calle 100,linea_roja,12,11.6,01/01/2025 15:58,15,2,0,0,0,268,0
Portal Norte,Calle 100,linea_roja,12,14.14,23/01/2025 22:38,22,3,0,0,1,173,0
Portal Norte,Calle 100,linea_roja,12,14.63,23/01/2025 10:21,10,3,0,0,1,42,0
Portal Norte,Calle 100,linea_roja,12,17.85,18/01/2025 07:13,7,5,1,0,1,193,0
Portal Norte,Calle 100,linea_roja,12,13.29,04/01/2025 23:00,23,5,1,0,0,221,0
Portal Norte,Calle 100,linea_roja,12,12.81,31/01/2025 00:02,0,4,0,0,0,234,0
Portal Norte,Calle 100,linea_roja,12,13.35,20/01/2025 01:52,1,0,0,0,1,158,0
Portal Norte,Calle 100,linea_roja,12,12.42,19/01/2025 01:48,1,6,1,0,0,183,0
Portal Norte,Calle 100,linea_roja,12,14.79,28/01/2025 18:34,18,1,0,0,0,18,0
Portal Norte,Calle 100,linea_roja,12,12.69,23/01/2025 23:13,23,3,0,0,0,166,0
Portal Norte,Calle 100,linea_roja,12,10.65,08/01/2025 02:42,2,2,0,0,0,246,0
Portal Norte,Calle 100,linea_roja,12,12.93,25/01/2025 12:41,12,5,1,0,0,84,0
Portal Norte,Calle 100,linea_roja,12,12.2,12/01/2025 03:56,3,6,1,0,0,290,0
Portal Norte,Calle 100,linea_roja,12,16.24,15/01/2025 09:57,9,2,0,0,0,174,0
Portal Norte,Calle 100,linea_roja,12,12.8,21/01/2025 13:09,13,1,0,0,0,143,0
Portal Norte,Calle 100,linea_roja,12,12.95,14/01/2025 13:30,13,1,0,0,1,55,0
Portal Norte,Calle 100,linea_roja,12,12.58,28/01/2025 23:57,23,1,0,0,0,200,0
Portal Norte,Calle 100,linea_roja,12,12.03,29/01/2025 02:13,2,2,0,0,0,361,0
Portal Norte,Calle 100,linea_roja,12,15.97,24/01/2025 09:13,9,4,0,0,0,317,0
Portal Norte,Calle 100,linea_roja,12,12.46,11/01/2025 21:45,21,5,1,0,0,362,0
Portal Norte,Calle 100,linea_roja,12,12.91,04/01/2025 23:32,23,5,1,0,0,285,0
Portal Norte,Calle 100,linea_roja,12,18.61,22/01/2025 09:45,9,2,0,0,0,181,0
Portal Norte,Calle 100,linea_roja,12,11.04,07/01/2025 01:11,1,1,0,0,0,160,0
Portal Norte,Calle 100,linea_roja,12,11.14,08/01/2025 12:06,12,2,0,0,0,105,0
Portal Norte,Calle 100,linea_roja,12,11.22,27/01/2025 23:20,23,0,0,0,0,389,0
Portal Norte,Calle 100,linea_roja,12,12.49,09/01/2025 22:30,22,3,0,0,0,175,0
Portal Norte,Calle 100,linea_roja,12,12.08,08/01/2025 13:09,13,2,0,0,0,56,0
Portal Norte,Calle 100,linea_roja,12,12.43,17/01/2025 00:29,0,4,0,0,0,93,0
Portal Norte,Calle 100,linea_roja,12,12.83,26/01/2025 12:35,12,6,1,0,0,315,0
Portal Norte,Calle 100,linea_roja,12,14.35,30/01/2025 23:50,23,3,0,0,1,162,0
Portal Norte,Calle 100,linea_roja,12,11.61,07/01/2025 00:38,0,1,0,0,0,382,0
Portal Norte,Calle 100,linea_roja,12,11.67,02/01/2025 05:37,5,3,0,0,0,312,0
Portal Norte,Calle 100,linea_roja,12,12.83,27/01/2025 03:02,3,0,0,0,0,122,0
Portal Norte,Calle 100,linea_roja,12,17.05,21/01/2025 06:43,6,1,0,0,0,106,0
Portal Norte,Calle 100,linea_roja,12,11.93,08/01/2025 21:13,21,2,0,0,0,386,0
Portal Norte,Calle 100,linea_roja,12,11.7,14/01/2025 23:34,23,1,0,0,0,397,0
Portal Norte,Calle 100,linea_roja,12,11.06,19/01/2025 15:32,15,6,1,0,0,331,0
Portal Norte,Calle 100,linea_roja,12,11.66,29/01/2025 10:39,10,2,0,0,0,142,0
Portal Norte,Calle 100,linea_roja,12,13.45,14/01/2025 17:29,17,1,0,0,0,82,0
Portal Norte,Calle 100,linea_roja,12,13.7,09/01/2025 20:40,20,3,0,0,1,267,0
Portal Norte,Calle 100,linea_roja,12,13.39,23/01/2025 10:19,10,3,0,0,1,243,0
Portal Norte,Calle 100,linea_roja,12,11.48,04/01/2025 11:41,11,5,1,0,0,331,0
Portal Norte,Calle 100,linea_roja,12,17.32,13/01/2025 06:31,6,0,0,0,0,230,0
Portal Norte,Calle 100,linea_roja,12,12.73,22/01/2025 11:55,11,2,0,0,0,184,0
Portal Norte,Calle 100,linea_roja,12,12.66,06/01/2025 20:54,20,0,0,0,0,188,0
Portal Norte,Calle 100,linea_roja,12,15.1,12/01/2025 18:58,18,6,1,0,0,334,0
Portal Norte,Calle 100,linea_roja,12,11.93,18/01/2025 05:42,5,5,1,0,0,234,0
Portal Norte,Calle 100,linea_roja,12,15.02,09/01/2025 07:50,7,3,0,0,0,374,0
Portal Norte,Calle 100,linea_roja,12,14.81,07/01/2025 17:53,17,1,0,0,0,350,0
Portal Norte,Calle 100,linea_roja,12,17.43,20/01/2025 16:49,16,0,0,0,0,192,0
Portal Norte,Calle 100,linea_roja,12,14.25,19/01/2025 04:59,4,6,1,0,0,226,0
Portal Norte,Calle 100,linea_roja,12,12.11,01/01/2025 11:10,11,2,0,0,0,350,0
Portal Norte,Calle 100,linea_roja,12,16.83,08/01/2025 06:02,6,2,0,0,0,181,0
Portal Norte,Calle 100,linea_roja,12,11.71,29/01/2025 00:58,0,2,0,0,0,177,0
Portal Norte,Calle 100,linea_roja,12,14.06,03/01/2025 16:09,16,4,0,0,0,137,0
Portal Norte,Calle 100,linea_roja,12,12.59,13/01/2025 12:51,12,0,0,0,0,86,0
Portal Norte,Calle 100,linea_roja,12,13.31,06/01/2025 21:51,21,0,0,0,0,146,0
Portal Norte,Calle 100,linea_roja,12,11.36,26/01/2025 02:32,2,6,1,0,0,360,0
Portal Norte,Calle 100,linea_roja,12,18.83,07/01/2025 08:35,8,1,0,0,1,384,0
Portal Norte,Calle 100,linea_roja,12,16.47,30/01/2025 18:04,18,3,0,0,0,218,0
Portal Norte,Calle 100,linea_roja,12,12.44,22/01/2025 00:28,0,2,0,0,0,251,0
Portal Norte,Calle 100,linea_roja,12,14.47,03/01/2025 17:29,17,4,0,0,0,57,0
Portal Norte,Calle 100,linea_roja,12,12.2,03/01/2025 01:28,1,4,0,0,0,323,0
Portal Norte,Calle 100,linea_roja,12,12.37,18/01/2025 04:55,4,5,1,0,0,15,0
Portal Norte,Calle 100,linea_roja,12,14.26,04/01/2025 05:00,5,5,1,0,1,280,0
Portal Norte,Calle 100,linea_roja,12,14.95,25/01/2025 16:07,16,5,1,0,0,171,0
Portal Norte,Calle 100,linea_roja,12,18.05,29/01/2025 18:42,18,2,0,0,0,269,0
Portal Norte,Calle 100,linea_roja,12,12.92,09/01/2025 23:13,23,3,0,0,1,325,0
Portal Norte,Calle 100,linea_roja,12,10.44,13/01/2025 22:26,22,0,0,0,0,151,0
Portal Norte,Calle 100,linea_roja,12,12.01,19/01/2025 00:10,0,6,1,0,0,195,0
Portal Norte,Calle 100,linea_roja,12,18.44,17/01/2025 19:25,19,4,0,0,1,229,0
Portal Norte,Calle 100,linea_roja,12,12.05,02/01/2025 03:35,3,3,0,0,0,336,0
Portal Norte,Calle 100,linea_roja,12,10.92,16/01/2025 15:20,15,3,0,0,0,92,0
Portal Norte,Calle 100,linea_roja,12,12.03,15/01/2025 00:06,0,2,0,0,0,163,0
Portal Norte,Calle 100,linea_roja,12,17.05,16/01/2025 06:04,6,3,0,0,0,251,0
Portal Norte,Calle 100,linea_roja,12,14.3,12/01/2025 18:55,18,6,1,0,0,192,0
Portal Norte,Calle 100,linea_roja,12,15.72,23/01/2025 19:55,19,3,0,0,0,335,0
Portal Norte,Calle 100,linea_roja,12,16.58,30/01/2025 07:47,7,3,0,0,0,353,0
Portal Norte,Calle 100,linea_roja,12,15.92,10/01/2025 19:24,19,4,0,0,0,17,0
Portal Norte,Calle 100,linea_roja,12,11.51,11/01/2025 14:20,14,5,1,0,0,227,0
Portal Norte,Calle 100,linea_roja,12,15.04,27/01/2025 16:59,16,0,0,0,0,198,0
Portal Norte,Calle 100,linea_roja,12,15.07,01/01/2025 10:59,10,2,0,0,1,366,0
Portal Norte,Calle 100,linea_roja,12,11.79,11/01/2025 12:57,12,5,1,0,0,347,0
Portal Norte,Calle 100,linea_roja,12,11.69,03/01/2025 15:41,15,4,0,0,0,205,0
Portal Norte,Calle 100,linea_roja,12,12.48,04/01/2025 03:27,3,5,1,0,0,164,0
Portal Norte,Calle 100,linea_roja,12,11.44,18/01/2025 12:21,12,5,1,0,0,221,0
Portal Norte,Calle 100,linea_roja,12,10.49,11/01/2025 11:15,11,5,1,0,0,375,0
Portal Norte,Calle 100,linea_roja,12,11.29,02/01/2025 21:51,21,3,0,0,0,239,0
Portal Norte,Calle 100,linea_roja,12,14.14,06/01/2025 04:58,4,0,0,0,1,14,0
Portal Norte,Calle 100,linea_roja,12,16.99,03/01/2025 19:16,19,4,0,0,0,72,0
Portal Norte,Calle 100,linea_roja,12,13.77,09/01/2025 20:57,20,3,0,0,0,128,0
Portal Norte,Calle 100,linea_roja,12,12.97,12/01/2025 10:01,10,6,1,0,0,249,0
Portal Norte,Calle 100,linea_roja,12,12.23,07/01/2025 11:37,11,1,0,0,0,381,0
Portal Norte,Calle 100,linea_roja,12,11.7,22/01/2025 23:57,23,2,0,0,0,221,0
Portal Norte,Calle 100,linea_roja,12,11.46,04/01/2025 02:25,2,5,1,0,0,184,0
Portal Norte,Calle 100,linea_roja,12,11.01,04/01/2025 11:56,11,5,1,0,0,289,0
Portal Norte,Calle 100,linea_roja,12,16.01,11/01/2025 08:32,8,5,1,0,0,48,0
Portal Norte,Calle 100,linea_roja,12,15.32,13/01/2025 07:17,7,0,0,0,0,7,0
Portal Norte,Calle 100,linea_roja,12,12.59,18/01/2025 04:02,4,5,1,0,0,64,0
Portal Norte,Calle 100,linea_roja,12,19.84,15/01/2025 09:34,9,2,0,0,1,148,0
Portal Norte,Calle 100,linea_roja,12,12.53,24/01/2025 21:05,21,4,0,0,0,269,0
Portal Norte,Calle 100,linea_roja,12,13.43,17/01/2025 22:40,22,4,0,0,0,112,0
Portal Norte,Calle 100,linea_roja,12,16.66,23/01/2025 07:17,7,3,0,0,1,398,0
Portal Norte,Calle 100,linea_roja,12,13.17,06/01/2025 02:55,2,0,0,0,1,363,0
Portal Norte,Calle 100,linea_roja,12,15.72,01/01/2025 16:27,16,2,0,0,0,376,0
Calle 100,Calle 72,linea_roja,8,8.8,16/01/2025 23:59,23,3,0,0,0,295,0
Calle 100,Calle 72,linea_roja,8,9.14,27/01/2025 13:32,13,0,0,0,0,159,0
Calle 100,Calle 72,linea_roja,8,8.07,04/01/2025 01:46,1,5,1,0,0,51,0
Calle 100,Calle 72,linea_roja,8,9.11,24/01/2025 00:38,0,4,0,0,1,215,0
Calle 100,Calle 72,linea_roja,8,11.16,22/01/2025 06:51,6,2,0,0,0,323,0
Calle 100,Calle 72,linea_roja,8,11.17,28/01/2025 06:42,6,1,0,0,0,278,0
Calle 100,Calle 72,linea_roja,8,7.24,16/01/2025 00:14,0,3,0,0,0,299,0
Calle 100,Calle 72,linea_roja,8,7.16,08/01/2025 21:51,21,2,0,0,0,119,0
Calle 100,Calle 72,linea_roja,8,8.95,21/01/2025 21:42,21,1,0,0,0,132,0
Calle 100,Calle 72,linea_roja,8,8.63,11/01/2025 21:17,21,5,1,0,0,163,0
Calle 100,Calle 72,linea_roja,8,7.78,25/01/2025 11:45,11,5,1,0,0,307,0
Calle 100,Calle 72,linea_roja,8,9.13,02/01/2025 02:15,2,3,0,0,0,60,0
Calle 100,Calle 72,linea_roja,8,8.23,07/01/2025 00:09,0,1,0,0,0,348,0
Calle 100,Calle 72,linea_roja,8,10.14,06/01/2025 17:35,17,0,0,0,0,145,0
Calle 100,Calle 72,linea_roja,8,8.26,12/01/2025 11:45,11,6,1,0,1,149,0
Calle 100,Calle 72,linea_roja,8,7.31,15/01/2025 14:01,14,2,0,0,0,228,0
Calle 100,Calle 72,linea_roja,8,8.66,12/01/2025 10:45,10,6,1,0,0,273,0
Calle 100,Calle 72,linea_roja,8,7.34,20/01/2025 13:33,13,0,0,0,0,328,0
Calle 100,Calle 72,linea_roja,8,10.16,11/01/2025 09:00,9,5,1,0,0,41,0
Calle 100,Calle 72,linea_roja,8,7.66,08/01/2025 21:00,21,2,0,0,0,355,0
Calle 100,Calle 72,linea_roja,8,8.46,15/01/2025 11:30,11,2,0,0,0,125,0
Calle 100,Calle 72,linea_roja,8,8.26,21/01/2025 15:18,15,1,0,0,0,8,0
Calle 100,Calle 72,linea_roja,8,11.77,29/01/2025 07:11,7,2,0,0,1,92,0
Calle 100,Calle 72,linea_roja,8,7.41,15/01/2025 10:01,10,2,0,0,0,33,0
Calle 100,Calle 72,linea_roja,8,8.3,11/01/2025 22:51,22,5,1,0,0,25,0
Calle 100,Calle 72,linea_roja,8,10.05,07/01/2025 16:33,16,1,0,0,0,221,0
